LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND,Log_TOTAL_SPEND,Cluster_GMM,Prob_Cluster_0,Prob_Cluster_1,Prob_Cluster_2,Cluster_Label
AUT,2008,13.606,1.311,538.253,,4479.07,8.407393950286961,0,0.5949918696325388,0.010189789627900158,0.39481834073956107,High Spend
AUT,2009,12.53,1.271,517.265,,4315.71,8.370248817019226,2,0.40910921768587943,0.005412233436379053,0.5854785488777418,Low Spend
AUT,2010,12.368,1.251,524.143,,4383.62,8.385858241986176,2,0.39038342801583803,0.004815864630884517,0.6048007073532774,Low Spend
AUT,2011,12.473,1.236,546.783,,4588.41,8.431506754487566,2,0.42298736966824785,0.004965410279717109,0.572047220052035,Low Spend
AUT,2012,12.181,1.234,570.525,,4809.52,8.478560465364655,2,0.3958064411932827,0.003967253113782454,0.6002263056929349,Low Spend
AUT,2013,12.222,1.245,594.13,,5037.85,8.524933160426455,2,0.41879117802517946,0.003918648394454101,0.5772901735803662,Low Spend
AUT,2014,12.324,1.268,616.256,,5263.8,8.56879843714191,2,0.4507902943417205,0.004021577041857378,0.5451881286164222,Low Spend
AUT,2015,12.407,1.28,632.737,,5462.53,8.605850379981357,2,0.47779189474397454,0.004093659924668986,0.5181144453313566,Low Spend
BEL,1970,28.113,1.078,41.918,,404.74,6.005712560373183,1,0.0004555704146362334,0.9995443586740681,7.091129540871378e-08,Medium Spend
BEL,1971,28.275,1.109,46.908,,453.75,6.119747817398232,1,0.00043444934420507346,0.999565508048174,4.260762076174007e-08,Medium Spend
BEL,1972,27.629,1.126,52.105,,506.0,6.2285110035911835,1,0.0008454235242798093,0.9991544437683109,1.3270740926396824e-07,Medium Spend
BEL,1973,27.547,1.2,61.916,,603.17,6.403855615286879,1,0.0010602416996829882,0.9989396382700293,1.2003028766332686e-07,Medium Spend
BEL,1974,26.779,1.183,69.147,,675.73,6.517272375046999,1,0.0022783554737085114,0.99772117872888,4.657974115935175e-07,Medium Spend
BEL,1975,21.886,1.208,75.852,,743.4,6.612578524768096,1,0.08411725233344353,0.913914136197337,0.0019686114692194705,Medium Spend
